# n*frame_step, dG(n), sigma^2(n), Uncertainty(n) 
2 1.259525E+01 6.830451E+02 2.862960E+00 
3 6.618273E+00 3.264574E+02 2.285458E+00 
4 3.194392E+00 1.906156E+02 1.952514E+00 
5 1.024777E+00 1.253435E+02 1.734429E+00 
6 -4.570116E-01 9.163410E+01 1.601797E+00 
7 -1.443790E+00 6.878686E+01 1.483637E+00 
8 -2.351836E+00 5.178139E+01 1.365331E+00 
9 -3.050768E+00 3.781161E+01 1.229823E+00 
10 -3.547437E+00 3.341967E+01 1.212627E+00 
11 -3.987862E+00 2.402616E+01 1.073897E+00 
12 -4.225144E+00 2.394598E+01 1.115881E+00 
13 -4.627800E+00 1.798007E+01 1.003436E+00 
14 -4.828824E+00 1.580095E+01 9.736822E-01 
15 -5.020422E+00 1.381509E+01 9.403010E-01 
16 -5.256476E+00 1.119279E+01 8.724159E-01 
17 -5.408369E+00 1.069777E+01 8.776327E-01 
18 -5.539244E+00 9.683949E+00 8.578928E-01 
19 -5.707225E+00 7.841760E+00 7.920485E-01 
20 -5.771864E+00 7.805937E+00 8.097523E-01 
21 -5.904570E+00 6.665324E+00 7.658646E-01 
22 -5.991148E+00 5.934635E+00 7.389089E-01 
23 -6.078667E+00 5.248472E+00 7.098263E-01 
24 -6.153042E+00 4.900060E+00 7.000043E-01 
25 -6.185046E+00 4.816568E+00 7.077592E-01 
26 -6.291896E+00 4.059866E+00 6.621673E-01 
27 -6.272599E+00 4.266701E+00 6.912818E-01 
28 -6.377700E+00 3.594852E+00 6.457576E-01 
29 -6.441107E+00 3.281052E+00 6.274761E-01 
30 -6.476504E+00 2.931625E+00 6.029274E-01 
31 -6.475145E+00 3.012161E+00 6.209321E-01 
32 -6.529768E+00 2.940434E+00 6.230067E-01 
33 -6.583552E+00 2.412739E+00 5.728286E-01 
34 -6.616348E+00 2.453682E+00 5.861019E-01 
35 -6.641388E+00 2.224026E+00 5.659150E-01 
36 -6.662002E+00 2.147191E+00 5.637236E-01 
